default;type;cat1;cat2;cat3;animid;caption;posename;emotional state;status
;;misc idle animations;dialogue;;low_sitting_leaning_eating_look_at_baron_idle;low sitting leaning eating look at baron idle;;;
;;misc idle animations;dialogue;;low_sitting_leaning_eating_look_at_ciri_idle;low sitting leaning eating look at ciri idle;;;
1;;misc idle animations;environment;tree heart;heart_beating_idle;heart beating idle;;;
1;;misc idle animations;environment;tree heart;roots_idle_0;roots idle 0;;;
;;misc idle animations;environment;tree heart;roots_idle_1;roots idle 1;;;
;;misc idle animations;environment;tree heart;roots_idle_2;roots idle 2;;;
;;misc idle animations;environment;tree heart;roots_idle_3;roots idle 3;;;
;;misc idle animations;ep1;;ep1_602_background_dance_idle1;ep1 602 background dance idle1;;;
;;misc idle animations;ep1;;ep1_602_background_dance_idle2;ep1 602 background dance idle2;;;
;;misc idle animations;ep1;;ep1_beheading_victim_idle_thug_01;ep1 beheading victim idle thug 01;;;
;;misc idle animations;ep1;;ep1_beheading_victim_idle_thug_02;ep1 beheading victim idle thug 02;;;
;;misc idle animations;ep1;;ep1_beheading_victim_idle_woman;ep1 beheading victim idle woman;;;
;;misc idle animations;ep1;;ep1_geralt_blizzard_idle;ep1 geralt blizzard idle;;;
;;misc idle animations;ep1;;ep1_geralt_knocked_down_awake_idle__geralt;ep1 geralt knocked down awake idle  geralt;;;
;;misc idle animations;ep1;;ep1_geralt_knocked_down_on_shanis_knees_idle__geralt;ep1 geralt knocked down on shanis knees idle  geralt;;;
;;misc idle animations;ep1;;ep1_geralt_lying_unconscious_idle;ep1 geralt lying unconscious idle;;;
;;misc idle animations;ep1;;ep1_geralt_sneaking_idle;ep1 geralt sneaking idle;;;
;;misc idle animations;ep1;;ep1_high_standing_determined_leaning_on_grate_idle;ep1 high standing determined leaning on grate idle;;;
;;misc idle animations;ep1;;ep1_high_standing_flower_determined_idle;ep1 high standing flower determined idle;;;
;;misc idle animations;ep1;;ep1_high_standing_hold_book_idle;ep1 high standing hold book idle;;;
;;misc idle animations;ep1;;ep1_high_standing_podium_hammer_proud_idle;ep1 high standing podium hammer proud idle;;;
;;misc idle animations;ep1;;ep1_high_standing_rowanberry_determined_idle;ep1 high standing rowanberry determined idle;;;
;;misc idle animations;ep1;;ep1_hostage_situation_idle_captor;ep1 hostage situation idle captor;;;
;;misc idle animations;ep1;;ep1_hostage_situation_idle_captor_moving;ep1 hostage situation idle captor moving;;;
;;misc idle animations;ep1;;ep1_hostage_situation_idle_hostage;ep1 hostage situation idle hostage;;;
;;misc idle animations;ep1;;ep1_hostage_situation_idle_hostage_moving;ep1 hostage situation idle hostage moving;;;
;;misc idle animations;ep1;;ep1_iris_father_document_reading_idle;ep1 iris father document reading idle;;;
;;misc idle animations;ep1;;ep1_iris_painting_standing_idle;ep1 iris painting standing idle;;;
;;misc idle animations;ep1;;ep1_iris_ugly_standing_idle;ep1 iris ugly standing idle;;;
;;misc idle animations;ep1;;ep1_low_sitting_ground_leaning_on_grating_idle;ep1 low sitting ground leaning on grating idle;;;
;;misc idle animations;ep1;;ep1_low_standing_drunk_with_bottle_idle;ep1 low standing drunk with bottle idle;;;
;;misc idle animations;ep1;;ep1_low_standing_hold_rose_idle;ep1 low standing hold rose idle;;;
;;misc idle animations;ep1;;ep1_mirror_sitting_ground_idle;ep1 mirror sitting ground idle;;;
;;misc idle animations;ep1;;ep1_mirror_sitting_on_shrine_idle;ep1 mirror sitting on shrine idle;;;
;;misc idle animations;ep1;;ep1_mirror_standing_hold_spoon_idle;ep1 mirror standing hold spoon idle;;;
;;misc idle animations;ep1;;ep1_mirror_standing_pose1_idle;ep1 mirror standing pose1 idle;;;
;;misc idle animations;ep1;;ep1_mirror_standing_pose2_idle;ep1 mirror standing pose2 idle;;;
;;misc idle animations;ep1;;ep1_olgierd_drinking_idle;ep1 olgierd drinking idle;;;
;;misc idle animations;ep1;;ep1_olgierd_kneeling_idle;ep1 olgierd kneeling idle;;;
;;misc idle animations;ep1;;ep1_olgierd_reading_the_book_idle;ep1 olgierd reading the book idle;;;
;;misc idle animations;ep1;;ep1_olgierd_sitting_oncouch_bored_idle;ep1 olgierd sitting oncouch bored idle;;;
;;misc idle animations;ep1;;ep1_olgierd_standing_determined_hold_painting_idle;ep1 olgierd standing determined hold painting idle;;;
;;misc idle animations;ep1;;ep1_olgierd_standing_determined_hold_rose_idle;ep1 olgierd standing determined hold rose idle;;;
;;misc idle animations;ep1;;ep1_olgierd_standing_determined_idle;ep1 olgierd standing determined idle;;;
;;misc idle animations;ep1;;ep1_olgierd_standing_hold_sword_idle;ep1 olgierd standing hold sword idle;;;
;;misc idle animations;ep1;;ep1_patron_frozen_idle;ep1 patron frozen idle;;;
;;misc idle animations;ep1;;ep1_shani_kneeling_determined_idle;ep1 shani kneeling determined idle;;;
;;misc idle animations;ep1;;ep1_shani_sitting_sad_idle;ep1 shani sitting sad idle;;;
;;misc idle animations;ep1;;ep1_shani_sitting_sad2_idle;ep1 shani sitting sad2 idle;;;
;;misc idle animations;ep1;;ep1_shani_standing_determined_idle;ep1 shani standing determined idle;;;
;;misc idle animations;ep1;;ep1_shani_standing_garland_idle;ep1 shani standing garland idle;;;
;;misc idle animations;ep1;;ep1_woman_high_standing_with_glass_happy_idle;ep1 woman high standing with glass happy idle;;;
;;misc idle animations;horse;;horse_attack_idle_left_overhead;horse attack idle left overhead;;;
;;misc idle animations;horse;;horse_attack_idle_left_overhead_dual;horse attack idle left overhead dual;;;
;;misc idle animations;horse;;horse_attack_idle_left_underhand;horse attack idle left underhand;;;
;;misc idle animations;horse;;horse_attack_idle_right_overhead;horse attack idle right overhead;;;
;;misc idle animations;horse;;horse_attack_idle_right_overhead_dual;horse attack idle right overhead dual;;;
;;misc idle animations;horse;;horse_attack_idle_right_underhand;horse attack idle right underhand;;;
;;misc idle animations;horse;;horse_draw_idle;horse draw idle;;;
;;misc idle animations;horse;;horse_hit_idle_01;horse hit idle 01;;;
;;misc idle animations;horse;;horse_hit_idle_02;horse hit idle 02;;;
;;misc idle animations;horse;;horse_hit_idle_03;horse hit idle 03;;;
;;misc idle animations;horse;;horse_idle_get_off;horse idle get off;;;
;;misc idle animations;horse;;horse_idle_get_off_slope;horse idle get off slope;;;
;;misc idle animations;horse;;horse_sheat_idle;horse sheat idle;;;
;;misc idle animations;man;axe;man_npc_2haxe_idle_lp;man npc 2haxe idle lp;;;
;;misc idle animations;man;axe;man_npc_2haxe_idle_rp;man npc 2haxe idle rp;;;
;;misc idle animations;man;axe;man_npc_axe_1hand_idle_lp;man npc axe 1hand idle lp;;;
;;misc idle animations;man;axe;man_npc_axe_1hand_idle_rp;man npc axe 1hand idle rp;;;
;;misc idle animations;man;bow;man_npc_bow_idle_aiming_01;man npc bow idle aiming 01;;;
;;misc idle animations;man;bow;man_npc_bow_idle_lp_01;man npc bow idle lp 01;;;
;;misc idle animations;man;bow;man_npc_bow_idle_rp_01;man npc bow idle rp 01;;;
;;misc idle animations;man;bow;man_npc_bow_reload_idle;man npc bow reload idle;;;
;;misc idle animations;man;combat;ex_man_geralt_gabriel_aim_idle;ex man geralt gabriel aim idle;;;
;;misc idle animations;man;combat;ex_man_geralt_gabriel_aim_idle_nocombat;ex man geralt gabriel aim idle nocombat;;;
;;misc idle animations;man;combat;man_ger_idle_heavyknockdown_1;man ger idle heavyknockdown 1;;;
;;misc idle animations;man;combat;man_ger_idle_knockdown_1;man ger idle knockdown 1;;;
;;misc idle animations;man;combat;man_ger_idle_sword_heavyknockdown_1;man ger idle sword heavyknockdown 1;;;
;;misc idle animations;man;combat;man_ger_idle_sword_knockdown_1;man ger idle sword knockdown 1;;;
;;misc idle animations;man;combat;man_geralt_gabriel_aim_idle_lp;man geralt gabriel aim idle lp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_aim_idle_rp;man geralt gabriel aim idle rp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_aim_idle_rp_nocombat;man geralt gabriel aim idle rp nocombat;;;
;;misc idle animations;man;combat;man_geralt_gabriel_boat_passenger_idle;man geralt gabriel boat passenger idle;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_gallop_aim_idle_rp;man geralt gabriel horse gallop aim idle rp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aim_end_rp;man geralt gabriel horse idle aim end rp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aim_idle_rp;man geralt gabriel horse idle aim idle rp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aim_reload_end_rp;man geralt gabriel horse idle aim reload end rp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aim_start_lp;man geralt gabriel horse idle aim start lp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_end_horizontal;man geralt gabriel horse idle aimpose end horizontal;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_end_horizontal_left;man geralt gabriel horse idle aimpose end horizontal left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_end_horizontal_right;man geralt gabriel horse idle aimpose end horizontal right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_horizontal;man geralt gabriel horse idle aimpose horizontal;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_horizontal_rp;man geralt gabriel horse idle aimpose horizontal rp;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_start_horizontal;man geralt gabriel horse idle aimpose start horizontal;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_start_horizontal_left;man geralt gabriel horse idle aimpose start horizontal left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_start_horizontal_right;man geralt gabriel horse idle aimpose start horizontal right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_vertical_center;man geralt gabriel horse idle aimpose vertical center;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_vertical_left;man geralt gabriel horse idle aimpose vertical left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_vertical_right;man geralt gabriel horse idle aimpose vertical right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_vertical_rp_center;man geralt gabriel horse idle aimpose vertical rp center;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_vertical_rp_left;man geralt gabriel horse idle aimpose vertical rp left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_aimpose_vertical_rp_right;man geralt gabriel horse idle aimpose vertical rp right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_dont_shoot_me_bro;man geralt gabriel horse idle dont shoot me bro;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_dont_shoot_me_bro_left;man geralt gabriel horse idle dont shoot me bro left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_dont_shoot_me_bro_right;man geralt gabriel horse idle dont shoot me bro right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_reload_lowered;man geralt gabriel horse idle reload lowered;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_right_arm_extend;man geralt gabriel horse idle right arm extend;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_shoot_additive_90left;man geralt gabriel horse idle shoot additive 90left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_shoot_additive_90right;man geralt gabriel horse idle shoot additive 90right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_shoot_additive_center;man geralt gabriel horse idle shoot additive center;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_shoot_additive_left;man geralt gabriel horse idle shoot additive left;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_idle_shoot_additive_right;man geralt gabriel horse idle shoot additive right;;;
;;misc idle animations;man;combat;man_geralt_gabriel_horse_trot_aim_idle_rp;man geralt gabriel horse trot aim idle rp;;;
;;misc idle animations;man;combat;man_npc_2h_parry_idle;man npc 2h parry idle;;;
;;misc idle animations;man;combat;man_npc_2hhalberd_idle_rp;man npc 2hhalberd idle rp;;;
;;misc idle animations;man;combat;man_npc_2hspear_idle_rp;man npc 2hspear idle rp;;;
;;misc idle animations;man;combat;man_npc_petard_aim_idle;man npc petard aim idle;;;
;;misc idle animations;man;drinking game;drinking_game_operator_idle;drinking game operator idle;;;
;;misc idle animations;man;drinking game;drinking_game_player_heavy_drunk_idle_1;drinking game player heavy drunk idle 1;;;
;;misc idle animations;man;drinking game;drinking_game_player_heavy_drunk_idle_2;drinking game player heavy drunk idle 2;;;
;;misc idle animations;man;drinking game;drinking_game_player_medium_drunk_idle_1;drinking game player medium drunk idle 1;;;
;;misc idle animations;man;drinking game;drinking_game_player_medium_drunk_idle_2;drinking game player medium drunk idle 2;;;
;;misc idle animations;man;drinking game;drinking_game_player_mild_drunk_idle_1;drinking game player mild drunk idle 1;;;
;;misc idle animations;man;drinking game;drinking_game_player_mild_drunk_idle_2;drinking game player mild drunk idle 2;;;
;;misc idle animations;man;drinking game;drinking_game_player_sober_idle_1;drinking game player sober idle 1;;;
;;misc idle animations;man;drinking game;drinking_game_player_sober_idle_2;drinking game player sober idle 2;;;
;;misc idle animations;man;fistfight;idle2;idle2;;;
;;misc idle animations;man;fistfight;man_fistfight_idle;man fistfight idle;;;
;;misc idle animations;man;fistfight;man_fistfight_idle_additive_pose1;man fistfight idle additive pose1;;;
;;misc idle animations;man;fistfight;man_fistfight_idle_additive_pose3;man fistfight idle additive pose3;;;
;;misc idle animations;man;fistfight;man_fistfight_idle_additive_pose4;man fistfight idle additive pose4;;;
;;misc idle animations;man;fistfight;man_fistfight_idle_alert_far;man fistfight idle alert far;;;
;;misc idle animations;man;fistfight;man_fistfight_idle_guarded;man fistfight idle guarded;;;
;;misc idle animations;man;fistfight;man_idle_fistfight_taunt;man idle fistfight taunt;;;
;;misc idle animations;man;hammer;man_npc_2hhammer_idle_lp;man npc 2hhammer idle lp;;;
;;misc idle animations;man;hammer;man_npc_2hhammer_idle_rp;man npc 2hhammer idle rp;;;
;;misc idle animations;man;kneeling;mq1058_high_kneeling_hold_doll_idle;mq1058 high kneeling hold doll idle;;;
;;misc idle animations;man;longsword;man_longsword_idle_left_2_sword_exploration_idle;man longsword idle left 2 sword exploration idle;;;
;;misc idle animations;man;longsword;man_longsword_idle_lp;man longsword idle lp;;;
;;misc idle animations;man;longsword;man_longsword_idle_right_2_sword_exploration_idle;man longsword idle right 2 sword exploration idle;;;
;;misc idle animations;man;longsword;man_longsword_idle_rp;man longsword idle rp;;;
;;misc idle animations;man;longsword;man_longsword_sword_left_2_idle_exploration_idle;man longsword sword left 2 idle exploration idle;;;
;;misc idle animations;man;longsword;man_longsword_sword_right_2_idle_exploration_idle;man longsword sword right 2 idle exploration idle;;;
;;misc idle animations;man;longsword;man_npc_longsword_idle_lp;man npc longsword idle lp;;;
;;misc idle animations;man;longsword;man_npc_longsword_idle_rp;man npc longsword idle rp;;;
;;misc idle animations;man;longsword;man_npc_longsword_petard_aim_idle;man npc longsword petard aim idle;;;
;;misc idle animations;man;mace;man_npc_mace_1hand_idle_lp;man npc mace 1hand idle lp;;;
;;misc idle animations;man;mace;man_npc_mace_1hand_idle_rp;man npc mace 1hand idle rp;;;
;;misc idle animations;man;meditate;meditation_idle_2;meditation idle 2;;;
;;misc idle animations;man;meditate;meditation_idle01;meditation idle01;;;
;0;misc idle animations;man;petard; man_geralt_petard_aim_shoot_rp_idle; man geralt petard aim shoot rp idle;;;
;0;misc idle animations;man;petard;man_geralt_petard_aim_idle_rp;man geralt petard aim idle rp;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_aimpose_horizontal;man geralt petard horse idle aimpose horizontal;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_aimpose_start_horizontal;man geralt petard horse idle aimpose start horizontal;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_aimpose_vertical_center;man geralt petard horse idle aimpose vertical center;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_aimpose_vertical_left;man geralt petard horse idle aimpose vertical left;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_aimpose_vertical_right;man geralt petard horse idle aimpose vertical right;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_shoot_center;man geralt petard horse idle shoot center;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_shoot_left;man geralt petard horse idle shoot left;;;
;0;misc idle animations;man;petard;man_geralt_petard_horse_idle_shoot_right;man geralt petard horse idle shoot right;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_aim_cycle;man geralt petard2 horse idle aim cycle;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_aimpose_end_horizontal;man geralt petard2 horse idle aimpose end horizontal;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_aimpose_horizontal;man geralt petard2 horse idle aimpose horizontal;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_aimpose_start_horizontal;man geralt petard2 horse idle aimpose start horizontal;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_dont_shoot_me_bro_center;man geralt petard2 horse idle dont shoot me bro center;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_dont_shoot_me_bro_left;man geralt petard2 horse idle dont shoot me bro left;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_dont_shoot_me_bro_right;man geralt petard2 horse idle dont shoot me bro right;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_shoot_90left;man geralt petard2 horse idle shoot 90left;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_shoot_90right;man geralt petard2 horse idle shoot 90right;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_shoot_center;man geralt petard2 horse idle shoot center;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_shoot_left;man geralt petard2 horse idle shoot left;;;
;0;misc idle animations;man;petard;man_geralt_petard2_horse_idle_shoot_right;man geralt petard2 horse idle shoot right;;;
;0;misc idle animations;man;sheperd;man_sheperd_idle01;man sheperd idle01;;;
;0;misc idle animations;man;sheperd;man_sheperd_idle02;man sheperd idle02;;;
;0;misc idle animations;man;sheperd;man_sheperd_idle03;man sheperd idle03;;;
;0;misc idle animations;man;sheperd;man_sheperd_idle04;man sheperd idle04;;;
;0;misc idle animations;man;sheperd;man_sheperd_idle05;man sheperd idle05;;;
;0;misc idle animations;man;sheperd;man_sheperd_idle06;man sheperd idle06;;;
;;misc idle animations;man;shield;man_npc_shield_idle_lp_01;man npc shield idle lp 01;;;
;;misc idle animations;man;shield;man_npc_shield_idle_rp_01;man npc shield idle rp 01;;;
;0;misc idle animations;man;signs;man_ger_idle_sign_aard_light;man ger idle sign aard light;;;
;0;misc idle animations;man;signs;man_ger_idle_sign_cancel;man ger idle sign cancel;;;
;0;misc idle animations;man;signs;man_ger_idle_sign_cancel2;man ger idle sign cancel2;;;
;0;misc idle animations;man;signs;man_ger_idle_sign_igni_light;man ger idle sign igni light;;;
;;misc idle animations;man;swimming;ex_man_gabriel_swim_idle;ex man gabriel swim idle;;;
;0;misc idle animations;man;swimming;man_geralt_gabriel_swim_idle_aim_end_rp;man geralt gabriel swim idle aim end rp;;;
;0;misc idle animations;man;swimming;man_geralt_gabriel_swim_idle_aim_start_lp;man geralt gabriel swim idle aim start lp;;;
;0;misc idle animations;man;swimming;man_swimming_deep_water_idle_override;man swimming deep water idle override;;;
;0;misc idle animations;man;swimming;man_swimming_middle_water_idle_override;man swimming middle water idle override;;;
;0;misc idle animations;man;swimming;man_swimming_middlewater_idle_override;man swimming middlewater idle override;;;
;0;misc idle animations;man;swimming;man_swimming_walk_deep_water_idle;man swimming walk deep water idle;;;
;0;misc idle animations;man;swimming;man_swimming_walk_middle_water_sword_idle;man swimming walk middle water sword idle;;;
;0;misc idle animations;man;swimming;swim_idle;swim idle;;;
;0;misc idle animations;man;swimming;swim_ledge50_center_idle;swim ledge50 center idle;;;
;0;misc idle animations;man;swimming;swim_ledge50_center_idle_recompress;swim ledge50 center idle recompress;;;
;0;misc idle animations;man;swimming;swim_underwater_idle;swim underwater idle;;;
;;misc idle animations;man;sword;man_geralt_sword_alert_idle_left;man geralt sword alert idle left;;;
;;misc idle animations;man;sword;man_geralt_sword_alert_idle_right;man geralt sword alert idle right;;;
;;misc idle animations;man;sword;man_geralt_sword_attack_fast_lp_2_idle;man geralt sword attack fast lp 2 idle;;;
;;misc idle animations;man;sword;man_geralt_sword_attack_fast_rp_2_idle;man geralt sword attack fast rp 2 idle;;;
;;misc idle animations;man;sword;man_geralt_sword_attack_strong_lp_2_idle;man geralt sword attack strong lp 2 idle;;;
;;misc idle animations;man;sword;man_geralt_sword_attack_strong_rp_2_idle;man geralt sword attack strong rp 2 idle;;;
;;misc idle animations;man;sword;man_geralt_sword_parry_idle_lp;man geralt sword parry idle lp;;;
;;misc idle animations;man;sword;man_geralt_sword_parry_idle_rp;man geralt sword parry idle rp;;;
;;misc idle animations;man;sword;man_npc_sword_1hand_idle_additive_pose_l_1;man npc sword 1hand idle additive pose l 1;;;
;;misc idle animations;man;sword;man_npc_sword_1hand_idle_additive_pose_l_2;man npc sword 1hand idle additive pose l 2;;;
;;misc idle animations;man;sword;man_npc_sword_1hand_idle_additive_pose_r_1;man npc sword 1hand idle additive pose r 1;;;
;;misc idle animations;man;sword;man_npc_sword_1hand_idle_additive_pose_r_2;man npc sword 1hand idle additive pose r 2;;;
;;misc idle animations;man;sword;man_npc_sword_1hand_idle_alert_near_left;man npc sword 1hand idle alert near left;;;
;;misc idle animations;man;sword;man_npc_sword_1hand_idle_alert_near_right;man npc sword 1hand idle alert near right;;;
;;misc idle animations;man;sword;man_npc_sword_2hand_idle_alert_far;man npc sword 2hand idle alert far;;;
;;misc idle animations;man;sword;man_npc_sword_2hand_idle_alert_near;man npc sword 2hand idle alert near;;;
;0;misc idle animations;man;vault;vault_idle_100;vault idle 100;;;
;0;misc idle animations;man;vault;vault_idle_100_fall;vault idle 100 fall;;;
;0;misc idle animations;man;vault;vault_idle_150;vault idle 150;;;
;0;misc idle animations;man;vault;vault_idle_150_fall;vault idle 150 fall;;;
;0;misc idle animations;man;vault;vault_idle_200;vault idle 200;;;
;0;misc idle animations;man;vault;vault_idle_200_fall;vault idle 200 fall;;;
;0;misc idle animations;man;vault;vault_idle_250;vault idle 250;;;
;0;misc idle animations;man;vault;vault_idle_250_fall;vault idle 250 fall;;;
;0;misc idle animations;man;vault;vault_idle_30;vault idle 30;;;
;0;misc idle animations;man;vault;vault_idle_30_fall;vault idle 30 fall;;;
;0;misc idle animations;man;vault;vault_idle_30_fall_reverse;vault idle 30 fall reverse;;;
;0;misc idle animations;man;vault;vault_idle_30_reverse;vault idle 30 reverse;;;
;0;misc idle animations;man;vault;vault_idle_300;vault idle 300;;;
;0;misc idle animations;man;vault;vault_idle_300_fall;vault idle 300 fall;;;
;0;misc idle animations;man;weight shift;add_idle_weight_shift_01;add idle weight shift 01;;;
;0;misc idle animations;man;weight shift;add_idle_weight_shift_02;add idle weight shift 02;;;
;0;misc idle animations;man;weight shift;add_idle_weight_shift_03;add idle weight shift 03;;;
;0;misc idle animations;man;weight shift;add_idle_weight_shift_04;add idle weight shift 04;;;
;0;misc idle animations;man;weight shift;add_idle_weight_shift_05;add idle weight shift 05;;;
;0;misc idle animations;man;weight shift;add_idle_weight_shift_06;add idle weight shift 06;;;
;0;misc idle animations;man;work;man_carry_crate_idle;man carry crate idle;;;
;0;misc idle animations;man;work;man_work_box_carry_idle;man work box carry idle;;;
;0;misc idle animations;man;work;man_work_broken_leg_idle_01;man work broken leg idle 01;;;
;0;misc idle animations;man;work;man_work_broken_leg_idle_02;man work broken leg idle 02;;;
;0;misc idle animations;man;work;man_work_broken_leg_idle_laydown;man work broken leg idle laydown;;;
;0;misc idle animations;man;work;man_work_broom_idle;man work broom idle;;;
;0;misc idle animations;man;work;man_work_brushing_horse_idle1;man work brushing horse idle1;;;
;0;misc idle animations;man;work;man_work_brushing_horse_idle1_recompress;man work brushing horse idle1 recompress;;;
;0;misc idle animations;man;work;man_work_brushing_horse_idle2;man work brushing horse idle2;;;
;0;misc idle animations;man;work;man_work_brushing_horse_idle2_recompress;man work brushing horse idle2 recompress;;;
;0;misc idle animations;man;work;man_work_rowing_idle;man work rowing idle;;;
;0;misc idle animations;man;work;man_work_sew_sails_idle;man work sew sails idle;;;
;0;misc idle animations;man;work;man_work_sitting_with_fishing_rod_idle;man work sitting with fishing rod idle;;;
;0;misc idle animations;man;;man_idle_torch;man idle torch;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_dialoque_idle_happy_1;monster cave troll dialoque idle happy 1;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_dialoque_idle_happy_2;monster cave troll dialoque idle happy 2;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_dialoque_idle_neutral;monster cave troll dialoque idle neutral;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_dialoque_idle_suspicious;monster cave troll dialoque idle suspicious;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_dialoque_idle_suspicious_2;monster cave troll dialoque idle suspicious 2;;;
1;90;misc idle animations;monsters;cave troll;monster_cave_troll_idle_1;monster cave troll idle 1;;;
;;misc idle animations;monsters;cave troll;monster_cave_troll_idle_lookat;monster cave troll idle lookat;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_idle_scratch_face;monster cave troll idle scratch face;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_look_in_pot_idle_1;monster cave troll look in pot idle 1;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_look_in_pot_idle_2;monster cave troll look in pot idle 2;;;
;90;misc idle animations;monsters;cave troll;monster_cave_troll_spawn_idle;monster cave troll spawn idle;;;
1;96;misc idle animations;monsters;drowner;monster_drowner_idle;monster drowner idle;;;
;96;misc idle animations;monsters;drowner;monster_drowner_idle_stunned;monster drowner idle stunned;;;
;96;misc idle animations;monsters;drowner;monster_drowner_swim_idle;monster drowner swim idle;;;
;96;misc idle animations;monsters;drowner;monster_drowner_swim_idle_die;monster drowner swim idle die;;;
;96;misc idle animations;monsters;drowner;monster_drowner_swim_idle_hit;monster drowner swim idle hit;;;
;90;misc idle animations;monsters;elemental;monster_elemental_cannonball_idle;monster elemental cannonball idle;;;
;90;misc idle animations;monsters;elemental;monster_elemental_effects_idle_stunned;monster elemental effects idle stunned;;;
1;90;misc idle animations;monsters;elemental;monster_elemental_idle;monster elemental idle;;;
;90;misc idle animations;monsters;elemental;monster_elemental_idle_pose;monster elemental idle pose;;;
;90;misc idle animations;monsters;giant;giant_combat_anchor_idle_2;giant combat anchor idle 2;;;
1;90;misc idle animations;monsters;giant;giant_combat_idle_1;giant combat idle 1;;;
;90;misc idle animations;monsters;giant;giant_sleep_idle;giant sleep idle;;;
;90;misc idle animations;monsters;gravehag;idle_blink_additive;idle blink additive;;;
;90;misc idle animations;monsters;gravehag;idle_eyemovement_additive;idle eyemovement additive;;;
;90;misc idle animations;monsters;gravehag;idle_fingers_additive;idle fingers additive;;;
;90;misc idle animations;monsters;gravehag;idle_mouth_additive;idle mouth additive;;;
1;90;misc idle animations;monsters;gryphon;monster_gryphon_idle;monster gryphon idle;;;
;;misc idle animations;monsters;gryphon;monster_gryphon_lookat_horizontal_idle;monster gryphon lookat horizontal idle;;;
;;misc idle animations;monsters;gryphon;monster_gryphon_lookat_vertical_idle;monster gryphon lookat vertical idle;;;
;90;misc idle animations;monsters;harpy;monster_harpy_fly_idle;monster harpy fly idle;;;
